 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      342.0000 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                         1286316
 Maximum Temperature :                             1742.5043 K - Change from last time step:      -0.0031 K
 Minimum Temperature :                             1454.8880 K - Change from last time step:      -0.0025 K
 Average(algebraic, non-weigthed) Temperature :    1666.0200 K - Change from last time step:      -0.0032 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1742.5043    703.0000     37.0340         0.0000
            1           2      0.0000      0.0050   1742.2449    703.0000     37.0310         0.0000
            1           3      0.0000      0.0100   1740.9471    703.0000     37.0161         0.0000
            1           4      0.0000      0.0150   1738.6076    703.0000     36.9892         0.0000
            1           5      0.0000      0.0200   1735.2211    703.0000     36.9502         0.0000
            1           6      0.0000      0.0250   1730.7801    703.0000     36.8992         0.0000
            1           7      0.0000      0.0300   1725.2756    703.0000     36.8359         0.0000
            1           8      0.0000      0.0350   1718.6980    703.0000     36.7602         0.0000
            1           9      0.0000      0.0400   1711.0375    703.0000     36.6721         0.0000
            1          10      0.0000      0.0450   1702.2849    703.0000     36.5715         0.0000
            1          11      0.0000      0.0500   1692.4323    703.0000     36.4582         0.0000
            1          12      0.0000      0.0550   1681.4741    703.0000     36.3322         0.0000
            1          13      0.0000      0.0600   1669.4072    703.0000     36.1934         0.0000
            1          14      0.0000      0.0650   1656.2319    703.0000     36.0419         0.0000
            1          15      0.0000      0.0700   1641.9522    703.0000     35.8777         0.0000
            1          16      0.0000      0.0750   1626.5757    703.0000     35.7008         0.0000
            1          17      0.0000      0.0800   1610.1143    703.0000     35.5115         0.0000
            1          18      0.0000      0.0850   1592.5834    703.0000     35.3099         0.0000
            1          19      0.0000      0.0900   1574.0018    703.0000     35.0962         0.0000
            1          20      0.0000      0.0950   1554.3916    703.0000     34.8707         0.0000
            1          21      0.0000      0.2000   1524.9949    703.0000     34.5326         0.0000
            2           1      0.0050      0.0000   1742.5043    703.0000     37.0340         0.0000
            2           2      0.0050      0.0050   1742.2449    703.0000     37.0310         0.0000
            2           3      0.0050      0.0100   1740.9471    703.0000     37.0161         0.0000
            2           4      0.0050      0.0150   1738.6076    703.0000     36.9892         0.0000
            2           5      0.0050      0.0200   1735.2211    703.0000     36.9502         0.0000
            2           6      0.0050      0.0250   1730.7801    703.0000     36.8992         0.0000
            2           7      0.0050      0.0300   1725.2756    703.0000     36.8359         0.0000
            2           8      0.0050      0.0350   1718.6980    703.0000     36.7602         0.0000
            2           9      0.0050      0.0400   1711.0375    703.0000     36.6721         0.0000
            2          10      0.0050      0.0450   1702.2849    703.0000     36.5715         0.0000
            2          11      0.0050      0.0500   1692.4323    703.0000     36.4582         0.0000
            2          12      0.0050      0.0550   1681.4741    703.0000     36.3322         0.0000
