 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      368.0000 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                         1377316
 Maximum Temperature :                             1734.3587 K - Change from last time step:      -0.0031 K
 Minimum Temperature :                             1448.4249 K - Change from last time step:      -0.0025 K
 Average(algebraic, non-weigthed) Temperature :    1657.8958 K - Change from last time step:      -0.0031 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1734.3587    703.0000     36.9403         0.0000
            1           2      0.0000      0.0050   1734.0975    703.0000     36.9373         0.0000
            1           3      0.0000      0.0100   1732.7907    703.0000     36.9223         0.0000
            1           4      0.0000      0.0150   1730.4366    703.0000     36.8952         0.0000
            1           5      0.0000      0.0200   1727.0323    703.0000     36.8561         0.0000
            1           6      0.0000      0.0250   1722.5735    703.0000     36.8048         0.0000
            1           7      0.0000      0.0300   1717.0556    703.0000     36.7413         0.0000
            1           8      0.0000      0.0350   1710.4733    703.0000     36.6656         0.0000
            1           9      0.0000      0.0400   1702.8217    703.0000     36.5776         0.0000
            1          10      0.0000      0.0450   1694.0962    703.0000     36.4773         0.0000
            1          11      0.0000      0.0500   1684.2935    703.0000     36.3646         0.0000
            1          12      0.0000      0.0550   1673.4116    703.0000     36.2394         0.0000
            1          13      0.0000      0.0600   1661.4506    703.0000     36.1019         0.0000
            1          14      0.0000      0.0650   1648.4126    703.0000     35.9519         0.0000
            1          15      0.0000      0.0700   1634.3024    703.0000     35.7897         0.0000
            1          16      0.0000      0.0750   1619.1274    703.0000     35.6152         0.0000
            1          17      0.0000      0.0800   1602.8976    703.0000     35.4285         0.0000
            1          18      0.0000      0.0850   1585.6258    703.0000     35.2299         0.0000
            1          19      0.0000      0.0900   1567.3272    703.0000     35.0195         0.0000
            1          20      0.0000      0.0950   1548.0192    703.0000     34.7974         0.0000
            1          21      0.0000      0.2000   1519.0471    703.0000     34.4642         0.0000
            2           1      0.0050      0.0000   1734.3587    703.0000     36.9403         0.0000
            2           2      0.0050      0.0050   1734.0975    703.0000     36.9373         0.0000
            2           3      0.0050      0.0100   1732.7907    703.0000     36.9223         0.0000
            2           4      0.0050      0.0150   1730.4366    703.0000     36.8952         0.0000
            2           5      0.0050      0.0200   1727.0323    703.0000     36.8561         0.0000
            2           6      0.0050      0.0250   1722.5735    703.0000     36.8048         0.0000
            2           7      0.0050      0.0300   1717.0556    703.0000     36.7413         0.0000
            2           8      0.0050      0.0350   1710.4733    703.0000     36.6656         0.0000
            2           9      0.0050      0.0400   1702.8217    703.0000     36.5776         0.0000
            2          10      0.0050      0.0450   1694.0962    703.0000     36.4773         0.0000
            2          11      0.0050      0.0500   1684.2935    703.0000     36.3646         0.0000
            2          12      0.0050      0.0550   1673.4116    703.0000     36.2394         0.0000
