 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      516.0000 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                         1891383
 Maximum Temperature :                             1688.7820 K - Change from last time step:      -0.0030 K
 Minimum Temperature :                             1412.1918 K - Change from last time step:      -0.0024 K
 Average(algebraic, non-weigthed) Temperature :    1613.9640 K - Change from last time step:      -0.0028 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1688.7820    703.0000     36.4162         0.0000
            1           2      0.0000      0.0050   1688.5295    703.0000     36.4133         0.0000
            1           3      0.0000      0.0100   1687.2672    703.0000     36.3988         0.0000
            1           4      0.0000      0.0150   1684.9954    703.0000     36.3726         0.0000
            1           5      0.0000      0.0200   1681.7149    703.0000     36.3349         0.0000
            1           6      0.0000      0.0250   1677.4269    703.0000     36.2856         0.0000
            1           7      0.0000      0.0300   1672.1328    703.0000     36.2247         0.0000
            1           8      0.0000      0.0350   1665.8347    703.0000     36.1523         0.0000
            1           9      0.0000      0.0400   1658.5349    703.0000     36.0684         0.0000
            1          10      0.0000      0.0450   1650.2365    703.0000     35.9729         0.0000
            1          11      0.0000      0.0500   1640.9431    703.0000     35.8660         0.0000
            1          12      0.0000      0.0550   1630.6589    703.0000     35.7478         0.0000
            1          13      0.0000      0.0600   1619.3888    703.0000     35.6182         0.0000
            1          14      0.0000      0.0650   1607.1387    703.0000     35.4773         0.0000
            1          15      0.0000      0.0700   1593.9150    703.0000     35.3252         0.0000
            1          16      0.0000      0.0750   1579.7253    703.0000     35.1620         0.0000
            1          17      0.0000      0.0800   1564.5780    703.0000     34.9878         0.0000
            1          18      0.0000      0.0850   1548.4825    703.0000     34.8027         0.0000
            1          19      0.0000      0.0900   1531.4494    703.0000     34.6069         0.0000
            1          20      0.0000      0.0950   1513.4902    703.0000     34.4003         0.0000
            1          21      0.0000      0.2000   1486.5576    703.0000     34.0906         0.0000
            2           1      0.0050      0.0000   1688.7820    703.0000     36.4162         0.0000
            2           2      0.0050      0.0050   1688.5295    703.0000     36.4133         0.0000
            2           3      0.0050      0.0100   1687.2672    703.0000     36.3988         0.0000
            2           4      0.0050      0.0150   1684.9954    703.0000     36.3726         0.0000
            2           5      0.0050      0.0200   1681.7149    703.0000     36.3349         0.0000
            2           6      0.0050      0.0250   1677.4269    703.0000     36.2856         0.0000
            2           7      0.0050      0.0300   1672.1328    703.0000     36.2247         0.0000
            2           8      0.0050      0.0350   1665.8347    703.0000     36.1523         0.0000
            2           9      0.0050      0.0400   1658.5349    703.0000     36.0684         0.0000
            2          10      0.0050      0.0450   1650.2365    703.0000     35.9729         0.0000
            2          11      0.0050      0.0500   1640.9431    703.0000     35.8660         0.0000
            2          12      0.0050      0.0550   1630.6589    703.0000     35.7478         0.0000
