 ====================================================================================
               Steady state solution for a 2D thermal profile                        
                  in cross section of a slab or billet in                            
                             Continuous Casting                                      
 ====================================================================================
                                                                                     
   Heat Transfer is calculated considering only heat conduction                      
  and convection in liquid metal is taken into consideration by                      
  artificially increasing thermal conductivity                                       
                                                                                     
  Heat exchanged due to solidification is modelled by                                
  equivalent heat capacity method.                                                   
                                                                                     
  Boundary Conditions are:                                                           
  1) In the mold, a specified heat flow as a function of time                        
  2) In secondary cooling, a specified heat transfer coefficient                     
     and also radiactive heat transfer.                                              
                                                                                     
  Velocity of strand is constant and equal to v sub z                                
                                                                                     
 ====================================================================================
 Author: Dickson Alves de Souza                                                      
                                                                                     
 Based on lectures by professor Roberto Parreiras Tavares                            
                                                                                     
 and book Numerical Heat Transfer and Fluid Flow                                     
 by Suhas V. Patankar (1980)                                                         
                                                                                     
 Federal University of Minas Gerais (UFMG)                                           
 December 03rd, 2017                                                                 
 ====================================================================================
                              Geometry:                                              
                                                                                     
 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21
                                                                                     
 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds
                                                                                     
 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds
                                                                                     
 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds
                                                                                     
 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds
                                                                                     
 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:                                   
                                                                                     
 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================
  
  
  
 ====================================================================================
                              Solver:                                      
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000
 
 Lever rule was used to calculate liquid fraction.
 ====================================================================================
  
  
  
 ===========================================================================================================
                    Calculation Results                                              
 Current time:                                      514.0000 seconds               
 Time Step:                                           0.0002 seconds               
 Iterations:                                         2056000
 Maximum Temperature :                             1799.7093 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1174.2227 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1636.6807 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.7093         38738.0340         176.2667           0.9587
     1    2    0.0000    0.0050   1799.6718         38438.0025         174.8189           0.9537
     1    3    0.0000    0.0100   1799.4660         36851.0324         167.1928           0.9268
     1    4    0.0000    0.0150   1798.9888         33535.6216         151.4463           0.8687
     1    5    0.0000    0.0200   1797.9575         27763.8168         124.7371           0.7601
     1    6    0.0000    0.0250   1795.5200         18950.4602          86.3475           0.5687
     1    7    0.0000    0.0300   1788.8028          8891.0958          49.2294           0.2786
     1    8    0.0000    0.0350   1774.0776          3458.8987          37.5448           0.0314
     1    9    0.0000    0.0400   1753.9072           703.0000          37.1651           0.0000
     1   10    0.0000    0.0450   1732.8468           703.0000          36.9229           0.0000
     1   11    0.0000    0.0500   1710.9112           703.0000          36.6707           0.0000
     1   12    0.0000    0.0550   1688.0796           703.0000          36.4081           0.0000
     1   13    0.0000    0.0600   1664.3353           703.0000          36.1351           0.0000
     1   14    0.0000    0.0650   1639.6659           703.0000          35.8514           0.0000
     1   15    0.0000    0.0700   1614.0635           703.0000          35.5569           0.0000
     1   16    0.0000    0.0750   1587.5242           703.0000          35.2517           0.0000
     1   17    0.0000    0.0800   1560.0473           703.0000          34.9357           0.0000
     1   18    0.0000    0.0850   1531.6357           703.0000          34.6090           0.0000
     1   19    0.0000    0.0900   1502.2944           703.0000          34.2716           0.0000
     1   20    0.0000    0.0950   1472.0305           703.0000          33.9236           0.0000
     1   21    0.0000    0.1000   1440.8530           703.0000          33.5650           0.0000
     2    1    0.0050    0.0000   1799.7093         38738.0282         176.2666           0.9587
     2    2    0.0050    0.0050   1799.6718         38437.9962         174.8189           0.9537
     2    3    0.0050    0.0100   1799.4660         36851.0236         167.1928           0.9268
     2    4    0.0050    0.0150   1798.9888         33535.6083         151.4463           0.8687
     2    5    0.0050    0.0200   1797.9575         27763.7970         124.7370           0.7601
     2    6    0.0050    0.0250   1795.5200         18950.4344          86.3474           0.5687
     2    7    0.0050    0.0300   1788.8027          8891.0761          49.2294           0.2786
     2    8    0.0050    0.0350   1774.0776          3458.8927          37.5448           0.0314
     2    9    0.0050    0.0400   1753.9072           703.0000          37.1651           0.0000
     2   10    0.0050    0.0450   1732.8468           703.0000          36.9229           0.0000
     2   11    0.0050    0.0500   1710.9112           703.0000          36.6707           0.0000
     2   12    0.0050    0.0550   1688.0796           703.0000          36.4081           0.0000
     2   13    0.0050    0.0600   1664.3352           703.0000          36.1351           0.0000
     2   14    0.0050    0.0650   1639.6659           703.0000          35.8514           0.0000
     2   15    0.0050    0.0700   1614.0635           703.0000          35.5569           0.0000
     2   16    0.0050    0.0750   1587.5241           703.0000          35.2517           0.0000
     2   17    0.0050    0.0800   1560.0473           703.0000          34.9357           0.0000
     2   18    0.0050    0.0850   1531.6357           703.0000          34.6090           0.0000
