 ====================================================================================
               Steady state solution for a 2D thermal profile                        
                  in cross section of a slab or billet in                            
                             Continuous Casting                                      
 ====================================================================================
                                                                                     
   Heat Transfer is calculated considering only heat conduction                      
  and convection in liquid metal is taken into consideration by                      
  artificially increasing thermal conductivity                                       
                                                                                     
  Heat exchanged due to solidification is modelled by                                
  equivalent heat capacity method.                                                   
                                                                                     
  Boundary Conditions are:                                                           
  1) In the mold, a specified heat flow as a function of time                        
  2) In secondary cooling, a specified heat transfer coefficient                     
     and also radiactive heat transfer.                                              
                                                                                     
  Velocity of strand is constant and equal to v sub z                                
                                                                                     
 ====================================================================================
 Author: Dickson Alves de Souza                                                      
                                                                                     
 Based on lectures by professor Roberto Parreiras Tavares                            
                                                                                     
 and book Numerical Heat Transfer and Fluid Flow                                     
 by Suhas V. Patankar (1980)                                                         
                                                                                     
 Federal University of Minas Gerais (UFMG)                                           
 December 03rd, 2017                                                                 
 ====================================================================================
                              Geometry:                                              
                                                                                     
 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21
                                                                                     
 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds
                                                                                     
 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds
                                                                                     
 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds
                                                                                     
 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds
                                                                                     
 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:                                   
                                                                                     
 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================
  
  
  
 ====================================================================================
                              Solver:                                      
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000
 
 Lever rule was used to calculate liquid fraction.
 ====================================================================================
  
  
  
 ===========================================================================================================
                    Calculation Results                                              
 Current time:                                      348.0000 seconds               
 Time Step:                                           0.0002 seconds               
 Iterations:                                         1392000
 Maximum Temperature :                             1799.9937 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1193.6680 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1669.2023 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.9937         41137.7853         187.9115           0.9981
     1    2    0.0000    0.0050   1799.9902         41106.6302         187.7596           0.9976
     1    3    0.0000    0.0100   1799.9695         40925.1924         186.8754           0.9947
     1    4    0.0000    0.0150   1799.9150         40451.3159         184.5689           0.9870
     1    5    0.0000    0.0200   1799.7851         39356.7044         179.2579           0.9690
     1    6    0.0000    0.0250   1799.4864         37003.4484         167.9229           0.9294
     1    7    0.0000    0.0300   1798.7947         32316.0961         145.7231           0.8466
     1    8    0.0000    0.0350   1797.0637         23909.4383         107.5208           0.6810
     1    9    0.0000    0.0400   1791.7539         11904.8678          59.1435           0.3785
     1   10    0.0000    0.0450   1776.8854          3959.4345          37.9892           0.0611
     1   11    0.0000    0.0500   1753.8672           703.0000          37.1647           0.0000
     1   12    0.0000    0.0550   1729.6172           703.0000          36.8858           0.0000
     1   13    0.0000    0.0600   1704.3036           703.0000          36.5947           0.0000
     1   14    0.0000    0.0650   1677.9352           703.0000          36.2915           0.0000
     1   15    0.0000    0.0700   1650.5301           703.0000          35.9763           0.0000
     1   16    0.0000    0.0750   1622.1134           703.0000          35.6495           0.0000
     1   17    0.0000    0.0800   1592.7146           703.0000          35.3114           0.0000
     1   18    0.0000    0.0850   1562.3650           703.0000          34.9624           0.0000
     1   19    0.0000    0.0900   1531.0943           703.0000          34.6028           0.0000
     1   20    0.0000    0.0950   1498.9281           703.0000          34.2329           0.0000
     1   21    0.0000    0.1000   1465.8854           703.0000          33.8529           0.0000
     2    1    0.0050    0.0000   1799.9937         41137.7847         187.9115           0.9981
     2    2    0.0050    0.0050   1799.9902         41106.6294         187.7596           0.9976
     2    3    0.0050    0.0100   1799.9695         40925.1910         186.8754           0.9947
     2    4    0.0050    0.0150   1799.9150         40451.3129         184.5689           0.9870
     2    5    0.0050    0.0200   1799.7851         39356.6982         179.2578           0.9690
     2    6    0.0050    0.0250   1799.4864         37003.4364         167.9228           0.9294
     2    7    0.0050    0.0300   1798.7947         32316.0749         145.7230           0.8466
     2    8    0.0050    0.0350   1797.0637         23909.4058         107.5207           0.6810
     2    9    0.0050    0.0400   1791.7539         11904.8354          59.1434           0.3785
     2   10    0.0050    0.0450   1776.8854          3959.4249          37.9892           0.0611
     2   11    0.0050    0.0500   1753.8672           703.0000          37.1647           0.0000
     2   12    0.0050    0.0550   1729.6171           703.0000          36.8858           0.0000
     2   13    0.0050    0.0600   1704.3035           703.0000          36.5947           0.0000
     2   14    0.0050    0.0650   1677.9352           703.0000          36.2915           0.0000
     2   15    0.0050    0.0700   1650.5301           703.0000          35.9763           0.0000
     2   16    0.0050    0.0750   1622.1133           703.0000          35.6495           0.0000
     2   17    0.0050    0.0800   1592.7146           703.0000          35.3114           0.0000
     2   18    0.0050    0.0850   1562.3650           703.0000          34.9624           0.0000
     2   19    0.0050    0.0900   1531.0943           703.0000          34.6028           0.0000
     2   20    0.0050    0.0950   1498.9281           703.0000          34.2329           0.0000
     2   21    0.0050    0.1000   1465.8853           703.0000          33.8529           0.0000
     3    1    0.0100    0.0000   1799.9937         41137.7842         187.9115           0.9981
     3    2    0.0100    0.0050   1799.9902         41106.6288         187.7596           0.9976
     3    3    0.0100    0.0100   1799.9695         40925.1897         186.8753           0.9947
     3    4    0.0100    0.0150   1799.9150         40451.3101         184.5689           0.9870
