 ====================================================================================
               Steady state solution for a 2D thermal profile                        
                  in cross section of a slab or billet in                            
                             Continuous Casting                                      
 ====================================================================================
                                                                                     
   Heat Transfer is calculated considering only heat conduction                      
  and convection in liquid metal is taken into consideration by                      
  artificially increasing thermal conductivity                                       
                                                                                     
  Heat exchanged due to solidification is modelled by                                
  equivalent heat capacity method.                                                   
                                                                                     
  Boundary Conditions are:                                                           
  1) In the mold, a specified heat flow as a function of time                        
  2) In secondary cooling, a specified heat transfer coefficient                     
     and also radiactive heat transfer.                                              
                                                                                     
  Velocity of strand is constant and equal to v sub z                                
                                                                                     
 ====================================================================================
 Author: Dickson Alves de Souza                                                      
                                                                                     
 Based on lectures by professor Roberto Parreiras Tavares                            
                                                                                     
 and book Numerical Heat Transfer and Fluid Flow                                     
 by Suhas V. Patankar (1980)                                                         
                                                                                     
 Federal University of Minas Gerais (UFMG)                                           
 December 03rd, 2017                                                                 
 ====================================================================================
                              Geometry:                                              
                                                                                     
 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21
                                                                                     
 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds
                                                                                     
 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds
                                                                                     
 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds
                                                                                     
 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds
                                                                                     
 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:                                   
                                                                                     
 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================
  
  
  
 ====================================================================================
                              Solver:                                      
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000
 
 Lever rule was used to calculate liquid fraction.
 ====================================================================================
  
  
  
 ===========================================================================================================
                    Calculation Results                                              
 Current time:                                      910.0000 seconds               
 Time Step:                                           0.0002 seconds               
 Iterations:                                         3640000
 Maximum Temperature :                             1771.4748 K - Change from last time step:      -0.0003 K
 Minimum Temperature :                             1106.3250 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1544.5603 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1771.4748          3091.2681          37.3763           0.0078
     1    2    0.0000    0.0050   1767.8204           703.0000          37.3251           0.0000
     1    3    0.0000    0.0100   1759.3882           703.0000          37.2282           0.0000
     1    4    0.0000    0.0150   1748.0743           703.0000          37.0981           0.0000
     1    5    0.0000    0.0200   1734.9838           703.0000          36.9475           0.0000
     1    6    0.0000    0.0250   1720.4824           703.0000          36.7807           0.0000
     1    7    0.0000    0.0300   1704.7279           703.0000          36.5996           0.0000
     1    8    0.0000    0.0350   1687.8324           703.0000          36.4053           0.0000
     1    9    0.0000    0.0400   1669.8887           703.0000          36.1989           0.0000
     1   10    0.0000    0.0450   1650.9722           703.0000          35.9814           0.0000
     1   11    0.0000    0.0500   1631.1416           703.0000          35.7533           0.0000
     1   12    0.0000    0.0550   1610.4409           703.0000          35.5153           0.0000
     1   13    0.0000    0.0600   1588.9027           703.0000          35.2676           0.0000
     1   14    0.0000    0.0650   1566.5515           703.0000          35.0105           0.0000
     1   15    0.0000    0.0700   1543.4062           703.0000          34.7444           0.0000
     1   16    0.0000    0.0750   1519.4820           703.0000          34.4692           0.0000
     1   17    0.0000    0.0800   1494.7917           703.0000          34.1853           0.0000
     1   18    0.0000    0.0850   1469.3467           703.0000          33.8927           0.0000
     1   19    0.0000    0.0900   1443.1570           703.0000          33.5915           0.0000
     1   20    0.0000    0.0950   1416.2320           703.0000          33.2819           0.0000
     1   21    0.0000    0.1000   1388.5804           703.0000          32.9639           0.0000
     2    1    0.0050    0.0000   1771.4746          3091.2427          37.3763           0.0078
     2    2    0.0050    0.0050   1767.8202           703.0000          37.3251           0.0000
     2    3    0.0050    0.0100   1759.3880           703.0000          37.2282           0.0000
     2    4    0.0050    0.0150   1748.0742           703.0000          37.0981           0.0000
     2    5    0.0050    0.0200   1734.9837           703.0000          36.9475           0.0000
     2    6    0.0050    0.0250   1720.4824           703.0000          36.7807           0.0000
     2    7    0.0050    0.0300   1704.7279           703.0000          36.5996           0.0000
     2    8    0.0050    0.0350   1687.8324           703.0000          36.4053           0.0000
     2    9    0.0050    0.0400   1669.8886           703.0000          36.1989           0.0000
     2   10    0.0050    0.0450   1650.9722           703.0000          35.9814           0.0000
     2   11    0.0050    0.0500   1631.1416           703.0000          35.7533           0.0000
     2   12    0.0050    0.0550   1610.4409           703.0000          35.5153           0.0000
     2   13    0.0050    0.0600   1588.9027           703.0000          35.2676           0.0000
     2   14    0.0050    0.0650   1566.5515           703.0000          35.0105           0.0000
     2   15    0.0050    0.0700   1543.4061           703.0000          34.7444           0.0000
     2   16    0.0050    0.0750   1519.4819           703.0000          34.4692           0.0000
     2   17    0.0050    0.0800   1494.7917           703.0000          34.1853           0.0000
     2   18    0.0050    0.0850   1469.3467           703.0000          33.8927           0.0000
