 ====================================================================================
               Steady state solution for a 2D thermal profile                        
                  in cross section of a slab or billet in                            
                             Continuous Casting                                      
 ====================================================================================
                                                                                     
   Heat Transfer is calculated considering only heat conduction                      
  and convection in liquid metal is taken into consideration by                      
  artificially increasing thermal conductivity                                       
                                                                                     
  Heat exchanged due to solidification is modelled by                                
  equivalent heat capacity method.                                                   
                                                                                     
  Boundary Conditions are:                                                           
  1) In the mold, a specified heat flow as a function of time                        
  2) In secondary cooling, a specified heat transfer coefficient                     
     and also radiactive heat transfer.                                              
                                                                                     
  Velocity of strand is constant and equal to v sub z                                
                                                                                     
 ====================================================================================
 Author: Dickson Alves de Souza                                                      
                                                                                     
 Based on lectures by professor Roberto Parreiras Tavares                            
                                                                                     
 and book Numerical Heat Transfer and Fluid Flow                                     
 by Suhas V. Patankar (1980)                                                         
                                                                                     
 Federal University of Minas Gerais (UFMG)                                           
 December 03rd, 2017                                                                 
 ====================================================================================
                              Geometry:                                              
                                                                                     
 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21
                                                                                     
 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds
                                                                                     
 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds
                                                                                     
 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds
                                                                                     
 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds
                                                                                     
 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:                                   
                                                                                     
 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================
  
  
  
 ====================================================================================
                              Solver:                                      
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000
 
 Lever rule was used to calculate liquid fraction.
 ====================================================================================
  
  
  
 ===========================================================================================================
                    Calculation Results                                              
 Current time:                                      402.0000 seconds               
 Time Step:                                           0.0002 seconds               
 Iterations:                                         1608000
 Maximum Temperature :                             1799.9587 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1190.0478 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1659.0564 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.9587         40830.7097         186.4152           0.9932
     1    2    0.0000    0.0050   1799.9492         40747.5687         186.0103           0.9918
     1    3    0.0000    0.0100   1799.8955         40284.2970         183.7570           0.9842
     1    4    0.0000    0.0150   1799.7646         39188.0800         178.4418           0.9662
     1    5    0.0000    0.0200   1799.4774         36936.2213         167.6008           0.9283
     1    6    0.0000    0.0250   1798.8511         32663.3437         147.3487           0.8530
     1    7    0.0000    0.0300   1797.3970         25244.2553         113.4177           0.7091
     1    8    0.0000    0.0350   1793.3718         14320.0091          67.9655           0.4491
     1    9    0.0000    0.0400   1781.5499          5153.1250          39.7844           0.1239
     1   10    0.0000    0.0450   1760.8176           703.0000          37.2446           0.0000
     1   11    0.0000    0.0500   1738.4499           703.0000          36.9874           0.0000
     1   12    0.0000    0.0550   1715.0356           703.0000          36.7181           0.0000
     1   13    0.0000    0.0600   1690.5632           703.0000          36.4367           0.0000
     1   14    0.0000    0.0650   1665.0331           703.0000          36.1431           0.0000
     1   15    0.0000    0.0700   1638.4559           703.0000          35.8374           0.0000
     1   16    0.0000    0.0750   1610.8496           703.0000          35.5200           0.0000
     1   17    0.0000    0.0800   1582.2357           703.0000          35.1909           0.0000
     1   18    0.0000    0.0850   1552.6370           703.0000          34.8505           0.0000
     1   19    0.0000    0.0900   1522.0748           703.0000          34.4991           0.0000
     1   20    0.0000    0.0950   1490.5677           703.0000          34.1367           0.0000
     1   21    0.0000    0.1000   1458.1310           703.0000          33.7637           0.0000
     2    1    0.0050    0.0000   1799.9587         40830.7081         186.4151           0.9932
     2    2    0.0050    0.0050   1799.9492         40747.5668         186.0103           0.9918
     2    3    0.0050    0.0100   1799.8955         40284.2939         183.7570           0.9842
     2    4    0.0050    0.0150   1799.7646         39188.0742         178.4418           0.9662
     2    5    0.0050    0.0200   1799.4774         36936.2109         167.6008           0.9283
     2    6    0.0050    0.0250   1798.8511         32663.3260         147.3486           0.8530
     2    7    0.0050    0.0300   1797.3970         25244.2281         113.4176           0.7091
     2    8    0.0050    0.0350   1793.3718         14319.9770          67.9654           0.4491
     2    9    0.0050    0.0400   1781.5498          5153.1115          39.7844           0.1239
     2   10    0.0050    0.0450   1760.8176           703.0000          37.2446           0.0000
     2   11    0.0050    0.0500   1738.4498           703.0000          36.9874           0.0000
     2   12    0.0050    0.0550   1715.0356           703.0000          36.7181           0.0000
     2   13    0.0050    0.0600   1690.5631           703.0000          36.4367           0.0000
     2   14    0.0050    0.0650   1665.0330           703.0000          36.1431           0.0000
     2   15    0.0050    0.0700   1638.4559           703.0000          35.8374           0.0000
     2   16    0.0050    0.0750   1610.8495           703.0000          35.5200           0.0000
     2   17    0.0050    0.0800   1582.2357           703.0000          35.1909           0.0000
     2   18    0.0050    0.0850   1552.6370           703.0000          34.8505           0.0000
     2   19    0.0050    0.0900   1522.0748           703.0000          34.4991           0.0000
     2   20    0.0050    0.0950   1490.5676           703.0000          34.1367           0.0000
     2   21    0.0050    0.1000   1458.1309           703.0000          33.7637           0.0000
     3    1    0.0100    0.0000   1799.9587         40830.7066         186.4151           0.9932
     3    2    0.0100    0.0050   1799.9492         40747.5651         186.0103           0.9918
     3    3    0.0100    0.0100   1799.8955         40284.2910         183.7570           0.9842
     3    4    0.0100    0.0150   1799.7646         39188.0688         178.4418           0.9662
     3    5    0.0100    0.0200   1799.4774         36936.2010         167.6007           0.9283
     3    6    0.0100    0.0250   1798.8511         32663.3092         147.3485           0.8530
     3    7    0.0100    0.0300   1797.3970         25244.2022         113.4175           0.7091
     3    8    0.0100    0.0350   1793.3718         14319.9466          67.9652           0.4491
     3    9    0.0100    0.0400   1781.5498          5153.0986          39.7843           0.1239
     3   10    0.0100    0.0450   1760.8175           703.0000          37.2446           0.0000
     3   11    0.0100    0.0500   1738.4498           703.0000          36.9874           0.0000
     3   12    0.0100    0.0550   1715.0355           703.0000          36.7181           0.0000
     3   13    0.0100    0.0600   1690.5631           703.0000          36.4367           0.0000
     3   14    0.0100    0.0650   1665.0330           703.0000          36.1431           0.0000
     3   15    0.0100    0.0700   1638.4558           703.0000          35.8374           0.0000
     3   16    0.0100    0.0750   1610.8495           703.0000          35.5200           0.0000
     3   17    0.0100    0.0800   1582.2357           703.0000          35.1909           0.0000
     3   18    0.0100    0.0850   1552.6370           703.0000          34.8505           0.0000
     3   19    0.0100    0.0900   1522.0747           703.0000          34.4991           0.0000
     3   20    0.0100    0.0950   1490.5676           703.0000          34.1367           0.0000
     3   21    0.0100    0.1000   1458.1309           703.0000          33.7637           0.0000
     4    1    0.0150    0.0000   1799.9587         40830.7052         186.4151           0.9932
     4    2    0.0150    0.0050   1799.9492         40747.5635         186.0103           0.9918
     4    3    0.0150    0.0100   1799.8955         40284.2883         183.7570           0.9842
     4    4    0.0150    0.0150   1799.7646         39188.0637         178.4417           0.9662
     4    5    0.0150    0.0200   1799.4774         36936.1917         167.6007           0.9283
     4    6    0.0150    0.0250   1798.8511         32663.2933         147.3485           0.8530
     4    7    0.0150    0.0300   1797.3970         25244.1777         113.4174           0.7091
     4    8    0.0150    0.0350   1793.3718         14319.9177          67.9651           0.4491
     4    9    0.0150    0.0400   1781.5498          5153.0864          39.7843           0.1239
