 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      850.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                         3400000
 Maximum Temperature :                             1789.7000 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1116.3134 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1562.1776 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1789.7000          9663.9307          51.6282           0.3058
     1    2    0.0000    0.0050   1788.5644          8702.5762          48.6621           0.2718
     1    3    0.0000    0.0100   1782.1063          5338.1350          40.1349           0.1328
     1    4    0.0000    0.0150   1769.0640           703.0000          37.3394           0.0000
     1    5    0.0000    0.0200   1754.0102           703.0000          37.1663           0.0000
     1    6    0.0000    0.0250   1737.6662           703.0000          36.9784           0.0000
     1    7    0.0000    0.0300   1720.3617           703.0000          36.7794           0.0000
     1    8    0.0000    0.0350   1702.2273           703.0000          36.5708           0.0000
     1    9    0.0000    0.0400   1683.2969           703.0000          36.3531           0.0000
     1   10    0.0000    0.0450   1663.5784           703.0000          36.1264           0.0000
     1   11    0.0000    0.0500   1643.0752           703.0000          35.8906           0.0000
     1   12    0.0000    0.0550   1621.7901           703.0000          35.6458           0.0000
     1   13    0.0000    0.0600   1599.7261           703.0000          35.3921           0.0000
     1   14    0.0000    0.0650   1576.8869           703.0000          35.1294           0.0000
     1   15    0.0000    0.0700   1553.2767           703.0000          34.8579           0.0000
     1   16    0.0000    0.0750   1528.9001           703.0000          34.5776           0.0000
     1   17    0.0000    0.0800   1503.7621           703.0000          34.2885           0.0000
     1   18    0.0000    0.0850   1477.8684           703.0000          33.9907           0.0000
     1   19    0.0000    0.0900   1451.2251           703.0000          33.6843           0.0000
     1   20    0.0000    0.0950   1423.8389           703.0000          33.3693           0.0000
     1   21    0.0000    0.1000   1395.7169           703.0000          33.0459           0.0000
     2    1    0.0050    0.0000   1789.6999          9663.9077          51.6281           0.3058
     2    2    0.0050    0.0050   1788.5644          8702.5547          48.6621           0.2718
     2    3    0.0050    0.0100   1782.1063          5338.1204          40.1349           0.1328
     2    4    0.0050    0.0150   1769.0640           703.0000          37.3394           0.0000
     2    5    0.0050    0.0200   1754.0101           703.0000          37.1663           0.0000
     2    6    0.0050    0.0250   1737.6661           703.0000          36.9784           0.0000
     2    7    0.0050    0.0300   1720.3617           703.0000          36.7794           0.0000
     2    8    0.0050    0.0350   1702.2273           703.0000          36.5708           0.0000
     2    9    0.0050    0.0400   1683.2968           703.0000          36.3531           0.0000
     2   10    0.0050    0.0450   1663.5783           703.0000          36.1264           0.0000
     2   11    0.0050    0.0500   1643.0752           703.0000          35.8906           0.0000
     2   12    0.0050    0.0550   1621.7900           703.0000          35.6458           0.0000
     2   13    0.0050    0.0600   1599.7261           703.0000          35.3920           0.0000
     2   14    0.0050    0.0650   1576.8869           703.0000          35.1294           0.0000
     2   15    0.0050    0.0700   1553.2767           703.0000          34.8579           0.0000
     2   16    0.0050    0.0750   1528.9000           703.0000          34.5776           0.0000
     2   17    0.0050    0.0800   1503.7621           703.0000          34.2885           0.0000
     2   18    0.0050    0.0850   1477.8684           703.0000          33.9907           0.0000
     2   19    0.0050    0.0900   1451.2251           703.0000          33.6843           0.0000
     2   20    0.0050    0.0950   1423.8389           703.0000          33.3693           0.0000
