 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      164.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          656000
 Maximum Temperature :                             1799.9690 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              978.5781 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1687.2835 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.9690         10301.6542         188.0883           0.9987
     1    2    0.0000    0.0050   1799.9634         10301.6542         188.0299           0.9985
     1    3    0.0000    0.0100   1799.9330         10301.6542         187.7179           0.9975
     1    4    0.0000    0.0150   1799.8675         10301.6542         187.0475           0.9953
     1    5    0.0000    0.0200   1799.7473         10301.6542         185.8191           0.9912
     1    6    0.0000    0.0250   1799.5405         10301.6542         183.7188           0.9842
     1    7    0.0000    0.0300   1799.1995         10301.6542         180.2881           0.9726
     1    8    0.0000    0.0350   1798.6531         10301.6542         174.8758           0.9541
     1    9    0.0000    0.0400   1797.7905         10301.6542         166.5470           0.9248
     1   10    0.0000    0.0450   1796.4236         10301.6542         153.8852           0.8785
     1   11    0.0000    0.0500   1794.1790         10301.6542         134.5202           0.8023
     1   12    0.0000    0.0550   1790.0938         10301.6542         103.8145           0.6638
     1   13    0.0000    0.0600   1779.1943         10301.6542          50.4141           0.2941
     1   14    0.0000    0.0650   1745.8275           703.0000          37.0722           0.0000
     1   15    0.0000    0.0700   1704.7232           703.0000          36.5995           0.0000
     1   16    0.0000    0.0750   1660.5773           703.0000          36.0918           0.0000
     1   17    0.0000    0.0800   1613.2575           703.0000          35.5477           0.0000
     1   18    0.0000    0.0850   1562.6822           703.0000          34.9660           0.0000
     1   19    0.0000    0.0900   1508.8146           703.0000          34.3466           0.0000
     1   20    0.0000    0.0950   1451.6409           703.0000          33.6891           0.0000
     1   21    0.0000    0.1000   1391.1403           703.0000          32.9933           0.0000
     2    1    0.0050    0.0000   1799.9690         10301.6542         188.0883           0.9987
     2    2    0.0050    0.0050   1799.9634         10301.6542         188.0299           0.9985
     2    3    0.0050    0.0100   1799.9330         10301.6542         187.7179           0.9975
     2    4    0.0050    0.0150   1799.8675         10301.6542         187.0475           0.9953
     2    5    0.0050    0.0200   1799.7473         10301.6542         185.8191           0.9912
     2    6    0.0050    0.0250   1799.5405         10301.6542         183.7188           0.9842
     2    7    0.0050    0.0300   1799.1995         10301.6542         180.2881           0.9726
     2    8    0.0050    0.0350   1798.6531         10301.6542         174.8758           0.9541
     2    9    0.0050    0.0400   1797.7905         10301.6542         166.5469           0.9248
     2   10    0.0050    0.0450   1796.4236         10301.6542         153.8851           0.8785
     2   11    0.0050    0.0500   1794.1790         10301.6542         134.5201           0.8023
     2   12    0.0050    0.0550   1790.0938         10301.6542         103.8143           0.6638
     2   13    0.0050    0.0600   1779.1942         10301.6542          50.4139           0.2941
     2   14    0.0050    0.0650   1745.8274           703.0000          37.0722           0.0000
     2   15    0.0050    0.0700   1704.7231           703.0000          36.5995           0.0000
     2   16    0.0050    0.0750   1660.5771           703.0000          36.0918           0.0000
     2   17    0.0050    0.0800   1613.2574           703.0000          35.5477           0.0000
     2   18    0.0050    0.0850   1562.6821           703.0000          34.9660           0.0000
     2   19    0.0050    0.0900   1508.8145           703.0000          34.3466           0.0000
     2   20    0.0050    0.0950   1451.6408           703.0000          33.6891           0.0000
     2   21    0.0050    0.1000   1391.1402           703.0000          32.9933           0.0000
     3    1    0.0100    0.0000   1799.9690         10301.6542         188.0883           0.9987
     3    2    0.0100    0.0050   1799.9634         10301.6542         188.0299           0.9985
     3    3    0.0100    0.0100   1799.9330         10301.6542         187.7179           0.9975
     3    4    0.0100    0.0150   1799.8675         10301.6542         187.0474           0.9953
     3    5    0.0100    0.0200   1799.7473         10301.6542         185.8191           0.9912
     3    6    0.0100    0.0250   1799.5405         10301.6542         183.7188           0.9842
     3    7    0.0100    0.0300   1799.1995         10301.6542         180.2880           0.9726
     3    8    0.0100    0.0350   1798.6531         10301.6542         174.8758           0.9541
     3    9    0.0100    0.0400   1797.7905         10301.6542         166.5469           0.9248
     3   10    0.0100    0.0450   1796.4236         10301.6542         153.8850           0.8785
     3   11    0.0100    0.0500   1794.1790         10301.6542         134.5199           0.8023
     3   12    0.0100    0.0550   1790.0938         10301.6542         103.8142           0.6638
     3   13    0.0100    0.0600   1779.1941         10301.6542          50.4137           0.2941
     3   14    0.0100    0.0650   1745.8273           703.0000          37.0722           0.0000
     3   15    0.0100    0.0700   1704.7230           703.0000          36.5995           0.0000
     3   16    0.0100    0.0750   1660.5770           703.0000          36.0918           0.0000
     3   17    0.0100    0.0800   1613.2573           703.0000          35.5477           0.0000
     3   18    0.0100    0.0850   1562.6820           703.0000          34.9660           0.0000
     3   19    0.0100    0.0900   1508.8144           703.0000          34.3466           0.0000
     3   20    0.0100    0.0950   1451.6407           703.0000          33.6891           0.0000
     3   21    0.0100    0.1000   1391.1401           703.0000          32.9933           0.0000
     4    1    0.0150    0.0000   1799.9690         10301.6542         188.0882           0.9987
     4    2    0.0150    0.0050   1799.9634         10301.6542         188.0299           0.9985
     4    3    0.0150    0.0100   1799.9330         10301.6542         187.7179           0.9975
     4    4    0.0150    0.0150   1799.8675         10301.6542         187.0474           0.9953
     4    5    0.0150    0.0200   1799.7473         10301.6542         185.8191           0.9912
     4    6    0.0150    0.0250   1799.5405         10301.6542         183.7187           0.9842
     4    7    0.0150    0.0300   1799.1995         10301.6542         180.2880           0.9726
     4    8    0.0150    0.0350   1798.6531         10301.6542         174.8757           0.9541
     4    9    0.0150    0.0400   1797.7905         10301.6542         166.5468           0.9248
     4   10    0.0150    0.0450   1796.4236         10301.6542         153.8850           0.8785
     4   11    0.0150    0.0500   1794.1790         10301.6542         134.5198           0.8023
     4   12    0.0150    0.0550   1790.0938         10301.6542         103.8140           0.6638
     4   13    0.0150    0.0600   1779.1941         10301.6542          50.4135           0.2941
     4   14    0.0150    0.0650   1745.8272           703.0000          37.0722           0.0000
     4   15    0.0150    0.0700   1704.7229           703.0000          36.5995           0.0000
     4   16    0.0150    0.0750   1660.5769           703.0000          36.0918           0.0000
     4   17    0.0150    0.0800   1613.2572           703.0000          35.5477           0.0000
     4   18    0.0150    0.0850   1562.6818           703.0000          34.9660           0.0000
     4   19    0.0150    0.0900   1508.8143           703.0000          34.3466           0.0000
     4   20    0.0150    0.0950   1451.6406           703.0000          33.6891           0.0000
     4   21    0.0150    0.1000   1391.1400           703.0000          32.9933           0.0000
     5    1    0.0200    0.0000   1799.9690         10301.6542         188.0882           0.9987
     5    2    0.0200    0.0050   1799.9634         10301.6542         188.0299           0.9985
     5    3    0.0200    0.0100   1799.9330         10301.6542         187.7178           0.9975
     5    4    0.0200    0.0150   1799.8675         10301.6542         187.0474           0.9953
     5    5    0.0200    0.0200   1799.7473         10301.6542         185.8191           0.9912
     5    6    0.0200    0.0250   1799.5405         10301.6542         183.7187           0.9842
     5    7    0.0200    0.0300   1799.1995         10301.6542         180.2880           0.9726
     5    8    0.0200    0.0350   1798.6531         10301.6542         174.8757           0.9541
     5    9    0.0200    0.0400   1797.7905         10301.6542         166.5468           0.9248
     5   10    0.0200    0.0450   1796.4236         10301.6542         153.8849           0.8785
     5   11    0.0200    0.0500   1794.1790         10301.6542         134.5197           0.8023
     5   12    0.0200    0.0550   1790.0937         10301.6542         103.8139           0.6638
     5   13    0.0200    0.0600   1779.1940         10301.6542          50.4134           0.2941
     5   14    0.0200    0.0650   1745.8270           703.0000          37.0722           0.0000
     5   15    0.0200    0.0700   1704.7227           703.0000          36.5995           0.0000
     5   16    0.0200    0.0750   1660.5768           703.0000          36.0918           0.0000
     5   17    0.0200    0.0800   1613.2570           703.0000          35.5477           0.0000
     5   18    0.0200    0.0850   1562.6817           703.0000          34.9660           0.0000
     5   19    0.0200    0.0900   1508.8142           703.0000          34.3466           0.0000
     5   20    0.0200    0.0950   1451.6405           703.0000          33.6891           0.0000
     5   21    0.0200    0.1000   1391.1399           703.0000          32.9933           0.0000
     6    1    0.0250    0.0000   1799.9690         10301.6542         188.0882           0.9987
     6    2    0.0250    0.0050   1799.9634         10301.6542         188.0299           0.9985
     6    3    0.0250    0.0100   1799.9330         10301.6542         187.7178           0.9975
     6    4    0.0250    0.0150   1799.8675         10301.6542         187.0474           0.9953
     6    5    0.0250    0.0200   1799.7473         10301.6542         185.8191           0.9912
     6    6    0.0250    0.0250   1799.5405         10301.6542         183.7187           0.9842
     6    7    0.0250    0.0300   1799.1995         10301.6542         180.2880           0.9726
     6    8    0.0250    0.0350   1798.6531         10301.6542         174.8756           0.9541
     6    9    0.0250    0.0400   1797.7905         10301.6542         166.5467           0.9248
     6   10    0.0250    0.0450   1796.4236         10301.6542         153.8848           0.8785
     6   11    0.0250    0.0500   1794.1790         10301.6542         134.5196           0.8023
     6   12    0.0250    0.0550   1790.0937         10301.6542         103.8138           0.6638
     6   13    0.0250    0.0600   1779.1940         10301.6542          50.4132           0.2941
     6   14    0.0250    0.0650   1745.8270           703.0000          37.0722           0.0000
     6   15    0.0250    0.0700   1704.7227           703.0000          36.5995           0.0000
     6   16    0.0250    0.0750   1660.5767           703.0000          36.0918           0.0000
     6   17    0.0250    0.0800   1613.2570           703.0000          35.5477           0.0000
     6   18    0.0250    0.0850   1562.6817           703.0000          34.9660           0.0000
     6   19    0.0250    0.0900   1508.8141           703.0000          34.3466           0.0000
     6   20    0.0250    0.0950   1451.6404           703.0000          33.6891           0.0000
     6   21    0.0250    0.1000   1391.1398           703.0000          32.9933           0.0000
     7    1    0.0300    0.0000   1799.9690         10301.6542         188.0882           0.9987
     7    2    0.0300    0.0050   1799.9634         10301.6542         188.0299           0.9985
     7    3    0.0300    0.0100   1799.9330         10301.6542         187.7178           0.9975
     7    4    0.0300    0.0150   1799.8675         10301.6542         187.0474           0.9953
     7    5    0.0300    0.0200   1799.7473         10301.6542         185.8191           0.9912
     7    6    0.0300    0.0250   1799.5405         10301.6542         183.7187           0.9842
     7    7    0.0300    0.0300   1799.1995         10301.6542         180.2879           0.9726
     7    8    0.0300    0.0350   1798.6531         10301.6542         174.8756           0.9541
     7    9    0.0300    0.0400   1797.7905         10301.6542         166.5467           0.9248
     7   10    0.0300    0.0450   1796.4235         10301.6542         153.8848           0.8785
     7   11    0.0300    0.0500   1794.1790         10301.6542         134.5196           0.8023
     7   12    0.0300    0.0550   1790.0937         10301.6542         103.8137           0.6638
     7   13    0.0300    0.0600   1779.1939         10301.6542          50.4131           0.2941
     7   14    0.0300    0.0650   1745.8269           703.0000          37.0722           0.0000
     7   15    0.0300    0.0700   1704.7226           703.0000          36.5995           0.0000
     7   16    0.0300    0.0750   1660.5766           703.0000          36.0918           0.0000
     7   17    0.0300    0.0800   1613.2569           703.0000          35.5477           0.0000
     7   18    0.0300    0.0850   1562.6816           703.0000          34.9660           0.0000
     7   19    0.0300    0.0900   1508.8140           703.0000          34.3466           0.0000
     7   20    0.0300    0.0950   1451.6404           703.0000          33.6891           0.0000
     7   21    0.0300    0.1000   1391.1398           703.0000          32.9933           0.0000
     8    1    0.0350    0.0000   1799.9690         10301.6542         188.0882           0.9987
     8    2    0.0350    0.0050   1799.9634         10301.6542         188.0299           0.9985
     8    3    0.0350    0.0100   1799.9330         10301.6542         187.7178           0.9975
     8    4    0.0350    0.0150   1799.8675         10301.6542         187.0474           0.9953
     8    5    0.0350    0.0200   1799.7473         10301.6542         185.8190           0.9912
     8    6    0.0350    0.0250   1799.5405         10301.6542         183.7187           0.9842
     8    7    0.0350    0.0300   1799.1995         10301.6542         180.2879           0.9726
     8    8    0.0350    0.0350   1798.6531         10301.6542         174.8756           0.9541
     8    9    0.0350    0.0400   1797.7905         10301.6542         166.5467           0.9248
     8   10    0.0350    0.0450   1796.4235         10301.6542         153.8847           0.8785
     8   11    0.0350    0.0500   1794.1790         10301.6542         134.5195           0.8023
     8   12    0.0350    0.0550   1790.0937         10301.6542         103.8136           0.6638
     8   13    0.0350    0.0600   1779.1939         10301.6542          50.4130           0.2941
     8   14    0.0350    0.0650   1745.8268           703.0000          37.0722           0.0000
     8   15    0.0350    0.0700   1704.7225           703.0000          36.5995           0.0000
     8   16    0.0350    0.0750   1660.5765           703.0000          36.0918           0.0000
     8   17    0.0350    0.0800   1613.2568           703.0000          35.5477           0.0000
     8   18    0.0350    0.0850   1562.6815           703.0000          34.9660           0.0000
     8   19    0.0350    0.0900   1508.8139           703.0000          34.3466           0.0000
     8   20    0.0350    0.0950   1451.6403           703.0000          33.6891           0.0000
     8   21    0.0350    0.1000   1391.1397           703.0000          32.9933           0.0000
     9    1    0.0400    0.0000   1799.9690         10301.6542         188.0882           0.9987
     9    2    0.0400    0.0050   1799.9634         10301.6542         188.0299           0.9985
     9    3    0.0400    0.0100   1799.9330         10301.6542         187.7178           0.9975
     9    4    0.0400    0.0150   1799.8675         10301.6542         187.0474           0.9953
     9    5    0.0400    0.0200   1799.7473         10301.6542         185.8190           0.9912
     9    6    0.0400    0.0250   1799.5405         10301.6542         183.7187           0.9842
     9    7    0.0400    0.0300   1799.1995         10301.6542         180.2879           0.9726
     9    8    0.0400    0.0350   1798.6531         10301.6542         174.8756           0.9541
     9    9    0.0400    0.0400   1797.7905         10301.6542         166.5466           0.9248
     9   10    0.0400    0.0450   1796.4235         10301.6542         153.8847           0.8785
     9   11    0.0400    0.0500   1794.1790         10301.6542         134.5195           0.8023
     9   12    0.0400    0.0550   1790.0937         10301.6542         103.8135           0.6638
     9   13    0.0400    0.0600   1779.1939         10301.6542          50.4129           0.2941
     9   14    0.0400    0.0650   1745.8268           703.0000          37.0722           0.0000
     9   15    0.0400    0.0700   1704.7224           703.0000          36.5995           0.0000
     9   16    0.0400    0.0750   1660.5764           703.0000          36.0918           0.0000
     9   17    0.0400    0.0800   1613.2567           703.0000          35.5477           0.0000
     9   18    0.0400    0.0850   1562.6814           703.0000          34.9660           0.0000
     9   19    0.0400    0.0900   1508.8139           703.0000          34.3466           0.0000
     9   20    0.0400    0.0950   1451.6402           703.0000          33.6891           0.0000
     9   21    0.0400    0.1000   1391.1397           703.0000          32.9933           0.0000
    10    1    0.0450    0.0000   1799.9690         10301.6542         188.0882           0.9987
    10    2    0.0450    0.0050   1799.9634         10301.6542         188.0299           0.9985
    10    3    0.0450    0.0100   1799.9330         10301.6542         187.7178           0.9975
    10    4    0.0450    0.0150   1799.8675         10301.6542         187.0474           0.9953
    10    5    0.0450    0.0200   1799.7473         10301.6542         185.8190           0.9912
    10    6    0.0450    0.0250   1799.5405         10301.6542         183.7187           0.9842
    10    7    0.0450    0.0300   1799.1995         10301.6542         180.2879           0.9726
    10    8    0.0450    0.0350   1798.6531         10301.6542         174.8756           0.9541
    10    9    0.0450    0.0400   1797.7905         10301.6542         166.5466           0.9248
    10   10    0.0450    0.0450   1796.4235         10301.6542         153.8847           0.8785
    10   11    0.0450    0.0500   1794.1789         10301.6542         134.5194           0.8023
    10   12    0.0450    0.0550   1790.0937         10301.6542         103.8135           0.6638
    10   13    0.0450    0.0600   1779.1939         10301.6542          50.4129           0.2941
    10   14    0.0450    0.0650   1745.8267           703.0000          37.0722           0.0000
    10   15    0.0450    0.0700   1704.7224           703.0000          36.5995           0.0000
    10   16    0.0450    0.0750   1660.5764           703.0000          36.0918           0.0000
    10   17    0.0450    0.0800   1613.2567           703.0000          35.5477           0.0000
    10   18    0.0450    0.0850   1562.6814           703.0000          34.9660           0.0000
    10   19    0.0450    0.0900   1508.8138           703.0000          34.3466           0.0000
    10   20    0.0450    0.0950   1451.6402           703.0000          33.6891           0.0000
    10   21    0.0450    0.1000   1391.1396           703.0000          32.9933           0.0000
    11    1    0.0500    0.0000   1799.9690         10301.6542         188.0882           0.9987
    11    2    0.0500    0.0050   1799.9634         10301.6542         188.0299           0.9985
    11    3    0.0500    0.0100   1799.9330         10301.6542         187.7178           0.9975
    11    4    0.0500    0.0150   1799.8675         10301.6542         187.0474           0.9953
    11    5    0.0500    0.0200   1799.7473         10301.6542         185.8190           0.9912
    11    6    0.0500    0.0250   1799.5405         10301.6542         183.7187           0.9842
    11    7    0.0500    0.0300   1799.1995         10301.6542         180.2879           0.9726
    11    8    0.0500    0.0350   1798.6531         10301.6542         174.8755           0.9541
    11    9    0.0500    0.0400   1797.7905         10301.6542         166.5466           0.9248
    11   10    0.0500    0.0450   1796.4235         10301.6542         153.8846           0.8785
    11   11    0.0500    0.0500   1794.1789         10301.6542         134.5194           0.8023
    11   12    0.0500    0.0550   1790.0937         10301.6542         103.8134           0.6638
    11   13    0.0500    0.0600   1779.1938         10301.6542          50.4128           0.2941
    11   14    0.0500    0.0650   1745.8267           703.0000          37.0722           0.0000
    11   15    0.0500    0.0700   1704.7223           703.0000          36.5995           0.0000
    11   16    0.0500    0.0750   1660.5763           703.0000          36.0918           0.0000
    11   17    0.0500    0.0800   1613.2566           703.0000          35.5477           0.0000
    11   18    0.0500    0.0850   1562.6813           703.0000          34.9660           0.0000
    11   19    0.0500    0.0900   1508.8138           703.0000          34.3466           0.0000
    11   20    0.0500    0.0950   1451.6401           703.0000          33.6891           0.0000
    11   21    0.0500    0.1000   1391.1396           703.0000          32.9933           0.0000
    12    1    0.0550    0.0000   1799.9690         10301.6542         188.0882           0.9987
    12    2    0.0550    0.0050   1799.9634         10301.6542         188.0299           0.9985
    12    3    0.0550    0.0100   1799.9330         10301.6542         187.7178           0.9975
    12    4    0.0550    0.0150   1799.8675         10301.6542         187.0474           0.9953
    12    5    0.0550    0.0200   1799.7473         10301.6542         185.8190           0.9912
    12    6    0.0550    0.0250   1799.5405         10301.6542         183.7187           0.9842
    12    7    0.0550    0.0300   1799.1995         10301.6542         180.2879           0.9726
    12    8    0.0550    0.0350   1798.6530         10301.6542         174.8755           0.9541
    12    9    0.0550    0.0400   1797.7905         10301.6542         166.5466           0.9248
    12   10    0.0550    0.0450   1796.4235         10301.6542         153.8846           0.8785
    12   11    0.0550    0.0500   1794.1789         10301.6542         134.5194           0.8023
    12   12    0.0550    0.0550   1790.0937         10301.6542         103.8134           0.6638
    12   13    0.0550    0.0600   1779.1938         10301.6542          50.4127           0.2941
    12   14    0.0550    0.0650   1745.8266           703.0000          37.0722           0.0000
    12   15    0.0550    0.0700   1704.7223           703.0000          36.5995           0.0000
    12   16    0.0550    0.0750   1660.5763           703.0000          36.0918           0.0000
    12   17    0.0550    0.0800   1613.2566           703.0000          35.5477           0.0000
    12   18    0.0550    0.0850   1562.6813           703.0000          34.9660           0.0000
    12   19    0.0550    0.0900   1508.8137           703.0000          34.3466           0.0000
    12   20    0.0550    0.0950   1451.6401           703.0000          33.6891           0.0000
    12   21    0.0550    0.1000   1391.1395           703.0000          32.9933           0.0000
    13    1    0.0600    0.0000   1799.9690         10301.6542         188.0882           0.9987
    13    2    0.0600    0.0050   1799.9634         10301.6542         188.0299           0.9985
    13    3    0.0600    0.0100   1799.9330         10301.6542         187.7178           0.9975
    13    4    0.0600    0.0150   1799.8675         10301.6542         187.0474           0.9953
    13    5    0.0600    0.0200   1799.7473         10301.6542         185.8190           0.9912
    13    6    0.0600    0.0250   1799.5405         10301.6542         183.7187           0.9842
    13    7    0.0600    0.0300   1799.1995         10301.6542         180.2879           0.9726
    13    8    0.0600    0.0350   1798.6530         10301.6542         174.8755           0.9541
    13    9    0.0600    0.0400   1797.7905         10301.6542         166.5466           0.9248
    13   10    0.0600    0.0450   1796.4235         10301.6542         153.8846           0.8785
    13   11    0.0600    0.0500   1794.1789         10301.6542         134.5193           0.8023
    13   12    0.0600    0.0550   1790.0937         10301.6542         103.8133           0.6638
    13   13    0.0600    0.0600   1779.1938         10301.6542          50.4127           0.2941
    13   14    0.0600    0.0650   1745.8266           703.0000          37.0722           0.0000
    13   15    0.0600    0.0700   1704.7223           703.0000          36.5995           0.0000
    13   16    0.0600    0.0750   1660.5763           703.0000          36.0918           0.0000
    13   17    0.0600    0.0800   1613.2565           703.0000          35.5477           0.0000
    13   18    0.0600    0.0850   1562.6813           703.0000          34.9660           0.0000
    13   19    0.0600    0.0900   1508.8137           703.0000          34.3466           0.0000
    13   20    0.0600    0.0950   1451.6401           703.0000          33.6891           0.0000
    13   21    0.0600    0.1000   1391.1395           703.0000          32.9933           0.0000
    14    1    0.0650    0.0000   1799.9690         10301.6542         188.0882           0.9987
    14    2    0.0650    0.0050   1799.9634         10301.6542         188.0299           0.9985
    14    3    0.0650    0.0100   1799.9330         10301.6542         187.7178           0.9975
    14    4    0.0650    0.0150   1799.8675         10301.6542         187.0474           0.9953
    14    5    0.0650    0.0200   1799.7473         10301.6542         185.8190           0.9912
    14    6    0.0650    0.0250   1799.5405         10301.6542         183.7186           0.9842
    14    7    0.0650    0.0300   1799.1995         10301.6542         180.2879           0.9726
    14    8    0.0650    0.0350   1798.6530         10301.6542         174.8755           0.9541
    14    9    0.0650    0.0400   1797.7905         10301.6542         166.5466           0.9248
    14   10    0.0650    0.0450   1796.4235         10301.6542         153.8846           0.8785
    14   11    0.0650    0.0500   1794.1789         10301.6542         134.5193           0.8023
    14   12    0.0650    0.0550   1790.0937         10301.6542         103.8133           0.6638
    14   13    0.0650    0.0600   1779.1938         10301.6542          50.4127           0.2941
    14   14    0.0650    0.0650   1745.8266           703.0000          37.0722           0.0000
    14   15    0.0650    0.0700   1704.7223           703.0000          36.5995           0.0000
    14   16    0.0650    0.0750   1660.5762           703.0000          36.0918           0.0000
    14   17    0.0650    0.0800   1613.2565           703.0000          35.5476           0.0000
    14   18    0.0650    0.0850   1562.6812           703.0000          34.9660           0.0000
    14   19    0.0650    0.0900   1508.8137           703.0000          34.3466           0.0000
    14   20    0.0650    0.0950   1451.6400           703.0000          33.6891           0.0000
    14   21    0.0650    0.1000   1391.1395           703.0000          32.9933           0.0000
    15    1    0.0700    0.0000   1799.9690         10301.6542         188.0882           0.9987
    15    2    0.0700    0.0050   1799.9634         10301.6542         188.0299           0.9985
    15    3    0.0700    0.0100   1799.9330         10301.6542         187.7178           0.9975
    15    4    0.0700    0.0150   1799.8675         10301.6542         187.0474           0.9953
    15    5    0.0700    0.0200   1799.7473         10301.6542         185.8190           0.9912
    15    6    0.0700    0.0250   1799.5405         10301.6542         183.7186           0.9842
    15    7    0.0700    0.0300   1799.1995         10301.6542         180.2879           0.9726
    15    8    0.0700    0.0350   1798.6530         10301.6542         174.8755           0.9541
    15    9    0.0700    0.0400   1797.7905         10301.6542         166.5466           0.9248
    15   10    0.0700    0.0450   1796.4235         10301.6542         153.8846           0.8785
    15   11    0.0700    0.0500   1794.1789         10301.6542         134.5193           0.8023
    15   12    0.0700    0.0550   1790.0937         10301.6542         103.8133           0.6638
    15   13    0.0700    0.0600   1779.1938         10301.6542          50.4127           0.2941
    15   14    0.0700    0.0650   1745.8266           703.0000          37.0722           0.0000
    15   15    0.0700    0.0700   1704.7222           703.0000          36.5995           0.0000
    15   16    0.0700    0.0750   1660.5762           703.0000          36.0918           0.0000
    15   17    0.0700    0.0800   1613.2565           703.0000          35.5476           0.0000
    15   18    0.0700    0.0850   1562.6812           703.0000          34.9660           0.0000
    15   19    0.0700    0.0900   1508.8137           703.0000          34.3466           0.0000
    15   20    0.0700    0.0950   1451.6400           703.0000          33.6891           0.0000
    15   21    0.0700    0.1000   1391.1395           703.0000          32.9933           0.0000
    16    1    0.0750    0.0000   1799.9690         10301.6542         188.0882           0.9987
    16    2    0.0750    0.0050   1799.9634         10301.6542         188.0299           0.9985
    16    3    0.0750    0.0100   1799.9330         10301.6542         187.7178           0.9975
    16    4    0.0750    0.0150   1799.8675         10301.6542         187.0474           0.9953
    16    5    0.0750    0.0200   1799.7473         10301.6542         185.8190           0.9912
    16    6    0.0750    0.0250   1799.5405         10301.6542         183.7186           0.9842
    16    7    0.0750    0.0300   1799.1995         10301.6542         180.2879           0.9726
    16    8    0.0750    0.0350   1798.6530         10301.6542         174.8755           0.9541
    16    9    0.0750    0.0400   1797.7905         10301.6542         166.5466           0.9248
    16   10    0.0750    0.0450   1796.4235         10301.6542         153.8846           0.8785
    16   11    0.0750    0.0500   1794.1789         10301.6542         134.5193           0.8023
    16   12    0.0750    0.0550   1790.0937         10301.6542         103.8133           0.6638
    16   13    0.0750    0.0600   1779.1938         10301.6542          50.4127           0.2941
    16   14    0.0750    0.0650   1745.8266           703.0000          37.0722           0.0000
    16   15    0.0750    0.0700   1704.7222           703.0000          36.5995           0.0000
    16   16    0.0750    0.0750   1660.5762           703.0000          36.0918           0.0000
    16   17    0.0750    0.0800   1613.2565           703.0000          35.5476           0.0000
    16   18    0.0750    0.0850   1562.6812           703.0000          34.9660           0.0000
    16   19    0.0750    0.0900   1508.8136           703.0000          34.3466           0.0000
    16   20    0.0750    0.0950   1451.6400           703.0000          33.6891           0.0000
    16   21    0.0750    0.1000   1391.1394           703.0000          32.9933           0.0000
    17    1    0.0800    0.0000   1799.9690         10301.6542         188.0882           0.9987
    17    2    0.0800    0.0050   1799.9634         10301.6542         188.0299           0.9985
    17    3    0.0800    0.0100   1799.9330         10301.6542         187.7178           0.9975
    17    4    0.0800    0.0150   1799.8675         10301.6542         187.0474           0.9953
    17    5    0.0800    0.0200   1799.7473         10301.6542         185.8190           0.9912
    17    6    0.0800    0.0250   1799.5405         10301.6542         183.7186           0.9842
    17    7    0.0800    0.0300   1799.1995         10301.6542         180.2879           0.9726
    17    8    0.0800    0.0350   1798.6530         10301.6542         174.8755           0.9541
    17    9    0.0800    0.0400   1797.7905         10301.6542         166.5466           0.9248
    17   10    0.0800    0.0450   1796.4235         10301.6542         153.8846           0.8785
    17   11    0.0800    0.0500   1794.1789         10301.6542         134.5193           0.8023
