 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      34.2857  - Cummulative time:      34.2857 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:       9.0000 seconds - Cummulative time:      43.2857 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:      79.2857 seconds - Cummulative time:     122.5714 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     568.2857 seconds - Cummulative time:     690.8571 seconds

 Casting speed:       0.0233
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       51.9957 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                          222550
 Maximum Temperature :                             1806.3735 K - Change from last time step:      -0.0015 K
 Minimum Temperature :                             1587.4577 K - Change from last time step:      -0.0021 K
 Average(algebraic, non-weigthed) Temperature :    1783.0326 K - Change from last time step:      -0.0044 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1806.3735    720.0000    188.8425         1.0000
            1           2      0.0000      0.0050   1806.3482    720.0000    188.8410         1.0000
            1           3      0.0000      0.0100   1806.2217    720.0000    188.8337         1.0000
            1           4      0.0000      0.0150   1805.9934    720.0000    188.8206         1.0000
            1           5      0.0000      0.0200   1805.6623    720.0000    188.8016         1.0000
            1           6      0.0000      0.0250   1805.2273    720.0000    188.7766         1.0000
            1           7      0.0000      0.0300   1804.6868    720.0000    188.7455         1.0000
            1           8      0.0000      0.0350   1804.0394    720.0000    188.7083         1.0000
            1           9      0.0000      0.0400   1803.2835    720.0000    188.6648         1.0000
            1          10      0.0000      0.0450   1802.4179    720.0000    188.6150         1.0000
            1          11      0.0000      0.0500   1801.4412    720.0000    188.5589         1.0000
            1          12      0.0000      0.0550   1800.3525    720.0000    188.4963         1.0000
            1          13      0.0000      0.0600   1799.0064    703.0000    151.9827         0.8708
            1          14      0.0000      0.0650   1796.9990    703.0000    106.4406         0.6757
            1          15      0.0000      0.0700   1793.5730    703.0000     69.3092         0.4589
            1          16      0.0000      0.0750   1787.3262    703.0000     46.1121         0.2388
            1          17      0.0000      0.0800   1776.7473    703.0000     37.9590         0.0596
            1          18      0.0000      0.0850   1761.4826    703.0000     37.2522         0.0000
            1          19      0.0000      0.0900   1741.7494    703.0000     37.0253         0.0000
            1          20      0.0000      0.0950   1717.2042    703.0000     36.7430         0.0000
            1          21      0.0000      0.2000   1639.1567    703.0000     35.8455         0.0000
            2           1      0.0050      0.0000   1806.3735    720.0000    188.8425         1.0000
            2           2      0.0050      0.0050   1806.3482    720.0000    188.8410         1.0000
            2           3      0.0050      0.0100   1806.2217    720.0000    188.8337         1.0000
            2           4      0.0050      0.0150   1805.9934    720.0000    188.8206         1.0000
            2           5      0.0050      0.0200   1805.6623    720.0000    188.8016         1.0000
            2           6      0.0050      0.0250   1805.2273    720.0000    188.7766         1.0000
            2           7      0.0050      0.0300   1804.6868    720.0000    188.7455         1.0000
            2           8      0.0050      0.0350   1804.0394    720.0000    188.7083         1.0000
            2           9      0.0050      0.0400   1803.2835    720.0000    188.6648         1.0000
            2          10      0.0050      0.0450   1802.4179    720.0000    188.6150         1.0000
            2          11      0.0050      0.0500   1801.4412    720.0000    188.5589         1.0000
            2          12      0.0050      0.0550   1800.3525    720.0000    188.4963         1.0000
