 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                100
 Nodes in Y direction:                                 20

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      729.0000 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                         2632124
 Maximum Temperature :                             1629.0681 K - Change from last time step:      -0.0027 K
 Minimum Temperature :                             1364.0353 K - Change from last time step:      -0.0021 K
 Average(algebraic, non-weigthed) Temperature :    1557.1042 K - Change from last time step:      -0.0025 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1629.0681    703.0000     35.7295         0.0000
            1           2      0.0000      0.0053   1628.8102    703.0000     35.7265         0.0000
            1           3      0.0000      0.0105   1627.5211    703.0000     35.7117         0.0000
            1           4      0.0000      0.0158   1625.2015    703.0000     35.6850         0.0000
            1           5      0.0000      0.0211   1621.8531    703.0000     35.6465         0.0000
            1           6      0.0000      0.0263   1617.4780    703.0000     35.5962         0.0000
            1           7      0.0000      0.0316   1612.0794    703.0000     35.5341         0.0000
            1           8      0.0000      0.0368   1605.6609    703.0000     35.4603         0.0000
            1           9      0.0000      0.0421   1598.2270    703.0000     35.3748         0.0000
            1          10      0.0000      0.0474   1589.7829    703.0000     35.2777         0.0000
            1          11      0.0000      0.0526   1580.3347    703.0000     35.1690         0.0000
            1          12      0.0000      0.0579   1569.8891    703.0000     35.0489         0.0000
            1          13      0.0000      0.0632   1558.4540    703.0000     34.9174         0.0000
            1          14      0.0000      0.0684   1546.0378    703.0000     34.7746         0.0000
            1          15      0.0000      0.0737   1532.6501    703.0000     34.6207         0.0000
            1          16      0.0000      0.0789   1518.3014    703.0000     34.4557         0.0000
            1          17      0.0000      0.0842   1503.0031    703.0000     34.2797         0.0000
            1          18      0.0000      0.0895   1486.7678    703.0000     34.0930         0.0000
            1          19      0.0000      0.0947   1469.6090    703.0000     33.8957         0.0000
            1          20      0.0000      0.2000   1443.8526    703.0000     33.5995         0.0000
            2           1      0.0051      0.0000   1629.0681    703.0000     35.7295         0.0000
            2           2      0.0051      0.0053   1628.8102    703.0000     35.7265         0.0000
            2           3      0.0051      0.0105   1627.5211    703.0000     35.7117         0.0000
            2           4      0.0051      0.0158   1625.2015    703.0000     35.6850         0.0000
            2           5      0.0051      0.0211   1621.8531    703.0000     35.6465         0.0000
            2           6      0.0051      0.0263   1617.4780    703.0000     35.5962         0.0000
            2           7      0.0051      0.0316   1612.0794    703.0000     35.5341         0.0000
            2           8      0.0051      0.0368   1605.6609    703.0000     35.4603         0.0000
            2           9      0.0051      0.0421   1598.2270    703.0000     35.3748         0.0000
            2          10      0.0051      0.0474   1589.7829    703.0000     35.2777         0.0000
            2          11      0.0051      0.0526   1580.3347    703.0000     35.1690         0.0000
            2          12      0.0051      0.0579   1569.8891    703.0000     35.0489         0.0000
            2          13      0.0051      0.0632   1558.4540    703.0000     34.9174         0.0000
            2          14      0.0051      0.0684   1546.0378    703.0000     34.7746         0.0000
            2          15      0.0051      0.0737   1532.6501    703.0000     34.6207         0.0000
            2          16      0.0051      0.0789   1518.3014    703.0000     34.4557         0.0000
            2          17      0.0051      0.0842   1503.0031    703.0000     34.2797         0.0000
            2          18      0.0051      0.0895   1486.7678    703.0000     34.0930         0.0000
            2          19      0.0051      0.0947   1469.6090    703.0000     33.8957         0.0000
            2          20      0.0051      0.2000   1443.8526    703.0000     33.5995         0.0000
