 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                100
 Nodes in Y direction:                                 20

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       93.0000 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                          388867
 Maximum Temperature :                             1800.2140 K - Change from last time step:      -0.0013 K
 Minimum Temperature :                             1534.9613 K - Change from last time step:      -0.0057 K
 Average(algebraic, non-weigthed) Temperature :    1761.2706 K - Change from last time step:      -0.0046 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1800.2140    720.0000    188.4883         1.0000
            1           2      0.0000      0.0053   1800.1900    720.0000    188.4869         1.0000
            1           3      0.0000      0.0105   1800.0706    720.0000    188.4801         1.0000
            1           4      0.0000      0.0158   1799.8535    703.0000    182.0234         0.9784
            1           5      0.0000      0.0211   1799.5265    703.0000    169.3774         0.9346
            1           6      0.0000      0.0263   1799.0601    703.0000    153.6428         0.8771
            1           7      0.0000      0.0316   1798.4074    703.0000    135.3262         0.8049
            1           8      0.0000      0.0368   1797.4868    703.0000    115.1068         0.7169
            1           9      0.0000      0.0421   1796.1517    703.0000     93.9560         0.6114
            1          10      0.0000      0.0474   1794.1280    703.0000     73.3668         0.4873
            1          11      0.0000      0.0526   1790.9071    703.0000     55.6438         0.3465
            1          12      0.0000      0.0579   1785.6914    703.0000     43.5665         0.2005
            1          13      0.0000      0.0632   1777.6919    703.0000     38.1865         0.0707
            1          14      0.0000      0.0684   1766.6566    703.0000     37.3118         0.0000
            1          15      0.0000      0.0737   1752.6299    703.0000     37.1504         0.0000
            1          16      0.0000      0.0789   1735.4085    703.0000     36.9524         0.0000
            1          17      0.0000      0.0842   1714.7345    703.0000     36.7146         0.0000
            1          18      0.0000      0.0895   1690.4351    703.0000     36.4352         0.0000
            1          19      0.0000      0.0947   1662.4478    703.0000     36.1133         0.0000
            1          20      0.0000      0.2000   1598.5756    703.0000     35.3788         0.0000
            2           1      0.0051      0.0000   1800.2140    720.0000    188.4883         1.0000
            2           2      0.0051      0.0053   1800.1900    720.0000    188.4869         1.0000
            2           3      0.0051      0.0105   1800.0706    720.0000    188.4801         1.0000
            2           4      0.0051      0.0158   1799.8535    703.0000    182.0234         0.9784
            2           5      0.0051      0.0211   1799.5265    703.0000    169.3774         0.9346
            2           6      0.0051      0.0263   1799.0601    703.0000    153.6428         0.8771
            2           7      0.0051      0.0316   1798.4074    703.0000    135.3262         0.8049
            2           8      0.0051      0.0368   1797.4868    703.0000    115.1068         0.7169
            2           9      0.0051      0.0421   1796.1517    703.0000     93.9560         0.6114
            2          10      0.0051      0.0474   1794.1280    703.0000     73.3668         0.4873
            2          11      0.0051      0.0526   1790.9071    703.0000     55.6438         0.3465
            2          12      0.0051      0.0579   1785.6914    703.0000     43.5665         0.2005
            2          13      0.0051      0.0632   1777.6919    703.0000     38.1865         0.0707
