 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                100
 Nodes in Y direction:                                 20

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       31.0000 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                          137382
 Maximum Temperature :                             1809.1306 K - Change from last time step:      -0.0010 K
 Minimum Temperature :                             1609.4533 K - Change from last time step:      -0.0374 K
 Average(algebraic, non-weigthed) Temperature :    1792.8020 K - Change from last time step:      -0.0055 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1809.1306    720.0000    189.0010         1.0000
            1           2      0.0000      0.0053   1809.1126    720.0000    189.0000         1.0000
            1           3      0.0000      0.0105   1809.0221    720.0000    188.9948         1.0000
            1           4      0.0000      0.0158   1808.8557    720.0000    188.9852         1.0000
            1           5      0.0000      0.0211   1808.6078    720.0000    188.9709         1.0000
            1           6      0.0000      0.0263   1808.2703    720.0000    188.9515         1.0000
            1           7      0.0000      0.0316   1807.8334    720.0000    188.9264         1.0000
            1           8      0.0000      0.0368   1807.2858    720.0000    188.8949         1.0000
            1           9      0.0000      0.0421   1806.6149    720.0000    188.8564         1.0000
            1          10      0.0000      0.0474   1805.8081    720.0000    188.8100         1.0000
            1          11      0.0000      0.0526   1804.8532    720.0000    188.7551         1.0000
            1          12      0.0000      0.0579   1803.7395    720.0000    188.6910         1.0000
            1          13      0.0000      0.0632   1802.4582    720.0000    188.6173         1.0000
            1          14      0.0000      0.0684   1801.0038    720.0000    188.5337         1.0000
            1          15      0.0000      0.0737   1799.2207    703.0000    158.7806         0.8963
            1          16      0.0000      0.0789   1796.3126    703.0000     96.1072         0.6230
            1          17      0.0000      0.0842   1790.2232    703.0000     53.2451         0.3228
            1          18      0.0000      0.0895   1777.9316    703.0000     38.2525         0.0736
            1          19      0.0000      0.0947   1757.7516    703.0000     37.2093         0.0000
            1          20      0.0000      0.2000   1654.8644    703.0000     36.0261         0.0000
            2           1      0.0051      0.0000   1809.1306    720.0000    189.0010         1.0000
            2           2      0.0051      0.0053   1809.1126    720.0000    189.0000         1.0000
            2           3      0.0051      0.0105   1809.0221    720.0000    188.9948         1.0000
            2           4      0.0051      0.0158   1808.8557    720.0000    188.9852         1.0000
            2           5      0.0051      0.0211   1808.6078    720.0000    188.9709         1.0000
            2           6      0.0051      0.0263   1808.2703    720.0000    188.9515         1.0000
            2           7      0.0051      0.0316   1807.8334    720.0000    188.9264         1.0000
            2           8      0.0051      0.0368   1807.2858    720.0000    188.8949         1.0000
            2           9      0.0051      0.0421   1806.6149    720.0000    188.8564         1.0000
            2          10      0.0051      0.0474   1805.8081    720.0000    188.8100         1.0000
            2          11      0.0051      0.0526   1804.8532    720.0000    188.7551         1.0000
            2          12      0.0051      0.0579   1803.7395    720.0000    188.6910         1.0000
            2          13      0.0051      0.0632   1802.4582    720.0000    188.6173         1.0000
