 ====================================================================================
               Steady state solution for a 2D thermal profile                        
                  in cross section of a slab or billet in                            
                             Continuous Casting                                      
 ====================================================================================
                                                                                     
   Heat Transfer is calculated considering only heat conduction                      
  and convection in liquid metal is taken into consideration by                      
  artificially increasing thermal conductivity                                       
                                                                                     
  Heat exchanged due to solidification is modelled by                                
  equivalent heat capacity method.                                                   
                                                                                     
  Boundary Conditions are:                                                           
  1) In the mold, a specified heat flow as a function of time                        
  2) In secondary cooling, a specified heat transfer coefficient                     
     and also radiactive heat transfer.                                              
                                                                                     
  Velocity of strand is constant and equal to v sub z                                
                                                                                     
 ====================================================================================
 Author: Dickson Alves de Souza                                                      
                                                                                     
 Based on lectures by professor Roberto Parreiras Tavares                            
                                                                                     
 and book Numerical Heat Transfer and Fluid Flow                                     
 by Suhas V. Patankar (1980)                                                         
                                                                                     
 Federal University of Minas Gerais (UFMG)                                           
 December 03rd, 2017                                                                 
 ====================================================================================
                              Geometry:                                              
                                                                                     
 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21
                                                                                     
 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds
                                                                                     
 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds
                                                                                     
 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds
                                                                                     
 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds
                                                                                     
 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:                                   
                                                                                     
 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================
  
  
  
 ====================================================================================
                              Solver:                                      
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000
 
 A linear relationship was used to calculate liquid fraction.
 ====================================================================================
  
  
  
 ===========================================================================================================
                    Calculation Results                                              
 Current time:                                      946.0000 seconds               
 Time Step:                                           0.0002 seconds               
 Iterations:                                         3784000
 Maximum Temperature :                             1727.0294 K - Change from last time step:      -0.0002 K
 Minimum Temperature :                             1100.2459 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1528.0606 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1727.0294           703.0000          36.8560           0.0000
     1    2    0.0000    0.0050   1726.3556           703.0000          36.8483           0.0000
     1    3    0.0000    0.0100   1723.0058           703.0000          36.8098           0.0000
     1    4    0.0000    0.0150   1717.0739           703.0000          36.7415           0.0000
     1    5    0.0000    0.0200   1708.7167           703.0000          36.6454           0.0000
     1    6    0.0000    0.0250   1698.1358           703.0000          36.5238           0.0000
     1    7    0.0000    0.0300   1685.5562           703.0000          36.3791           0.0000
     1    8    0.0000    0.0350   1671.2050           703.0000          36.2141           0.0000
     1    9    0.0000    0.0400   1655.2946           703.0000          36.0311           0.0000
     1   10    0.0000    0.0450   1638.0108           703.0000          35.8323           0.0000
     1   11    0.0000    0.0500   1619.5074           703.0000          35.6195           0.0000
     1   12    0.0000    0.0550   1599.9055           703.0000          35.3941           0.0000
     1   13    0.0000    0.0600   1579.2967           703.0000          35.1571           0.0000
     1   14    0.0000    0.0650   1557.7482           703.0000          34.9093           0.0000
     1   15    0.0000    0.0700   1535.3083           703.0000          34.6512           0.0000
     1   16    0.0000    0.0750   1512.0120           703.0000          34.3833           0.0000
     1   17    0.0000    0.0800   1487.8847           703.0000          34.1059           0.0000
     1   18    0.0000    0.0850   1462.9458           703.0000          33.8191           0.0000
     1   19    0.0000    0.0900   1437.2108           703.0000          33.5231           0.0000
     1   20    0.0000    0.0950   1410.6928           703.0000          33.2182           0.0000
     1   21    0.0000    0.1000   1383.4036           703.0000          32.9043           0.0000
     2    1    0.0050    0.0000   1727.0293           703.0000          36.8560           0.0000
     2    2    0.0050    0.0050   1726.3554           703.0000          36.8483           0.0000
     2    3    0.0050    0.0100   1723.0057           703.0000          36.8098           0.0000
     2    4    0.0050    0.0150   1717.0737           703.0000          36.7415           0.0000
     2    5    0.0050    0.0200   1708.7165           703.0000          36.6454           0.0000
     2    6    0.0050    0.0250   1698.1357           703.0000          36.5238           0.0000
     2    7    0.0050    0.0300   1685.5561           703.0000          36.3791           0.0000
     2    8    0.0050    0.0350   1671.2049           703.0000          36.2141           0.0000
     2    9    0.0050    0.0400   1655.2945           703.0000          36.0311           0.0000
     2   10    0.0050    0.0450   1638.0107           703.0000          35.8323           0.0000
     2   11    0.0050    0.0500   1619.5074           703.0000          35.6195           0.0000
     2   12    0.0050    0.0550   1599.9055           703.0000          35.3941           0.0000
     2   13    0.0050    0.0600   1579.2967           703.0000          35.1571           0.0000
     2   14    0.0050    0.0650   1557.7481           703.0000          34.9093           0.0000
     2   15    0.0050    0.0700   1535.3083           703.0000          34.6512           0.0000
     2   16    0.0050    0.0750   1512.0120           703.0000          34.3833           0.0000
     2   17    0.0050    0.0800   1487.8847           703.0000          34.1059           0.0000
     2   18    0.0050    0.0850   1462.9458           703.0000          33.8191           0.0000
