 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 November 18th, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                100
 Nodes in Y direction:                                 20

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach NOT employed in solution.
 Tolerance:       0.0010

 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      567.0000 seconds
 Time Step:                                           0.0100 seconds
 Iterations:                                         2080129
 Maximum Temperature :                             1673.6462 K - Change from last time step:      -0.0029 K
 Minimum Temperature :                             1399.9206 K - Change from last time step:      -0.0023 K
 Average(algebraic, non-weigthed) Temperature :    1599.5749 K - Change from last time step:      -0.0028 K
 ===========================================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)Liquid Fraction
 ===========================================================================================================
            1           1      0.0000      0.0000   1673.6462    703.0000     36.2421         0.0000
            1           2      0.0000      0.0053   1673.3720    703.0000     36.2390         0.0000
            1           3      0.0000      0.0105   1672.0008    703.0000     36.2232         0.0000
            1           4      0.0000      0.0158   1669.5333    703.0000     36.1948         0.0000
            1           5      0.0000      0.0211   1665.9706    703.0000     36.1539         0.0000
            1           6      0.0000      0.0263   1661.3147    703.0000     36.1003         0.0000
            1           7      0.0000      0.0316   1655.5678    703.0000     36.0342         0.0000
            1           8      0.0000      0.0368   1648.7329    703.0000     35.9556         0.0000
            1           9      0.0000      0.0421   1640.8137    703.0000     35.8646         0.0000
            1          10      0.0000      0.0474   1631.8144    703.0000     35.7611         0.0000
            1          11      0.0000      0.0526   1621.7402    703.0000     35.6452         0.0000
            1          12      0.0000      0.0579   1610.5970    703.0000     35.5171         0.0000
            1          13      0.0000      0.0632   1598.3915    703.0000     35.3767         0.0000
            1          14      0.0000      0.0684   1585.1314    703.0000     35.2242         0.0000
            1          15      0.0000      0.0737   1570.8254    703.0000     35.0597         0.0000
            1          16      0.0000      0.0789   1555.4833    703.0000     34.8833         0.0000
            1          17      0.0000      0.0842   1539.1158    703.0000     34.6950         0.0000
            1          18      0.0000      0.0895   1521.7351    703.0000     34.4952         0.0000
            1          19      0.0000      0.0947   1503.3544    703.0000     34.2838         0.0000
            1          20      0.0000      0.2000   1475.6982    703.0000     33.9657         0.0000
            2           1      0.0051      0.0000   1673.6462    703.0000     36.2421         0.0000
            2           2      0.0051      0.0053   1673.3720    703.0000     36.2390         0.0000
            2           3      0.0051      0.0105   1672.0008    703.0000     36.2232         0.0000
            2           4      0.0051      0.0158   1669.5332    703.0000     36.1948         0.0000
            2           5      0.0051      0.0211   1665.9706    703.0000     36.1539         0.0000
            2           6      0.0051      0.0263   1661.3147    703.0000     36.1003         0.0000
            2           7      0.0051      0.0316   1655.5678    703.0000     36.0342         0.0000
            2           8      0.0051      0.0368   1648.7329    703.0000     35.9556         0.0000
            2           9      0.0051      0.0421   1640.8137    703.0000     35.8646         0.0000
            2          10      0.0051      0.0474   1631.8144    703.0000     35.7611         0.0000
            2          11      0.0051      0.0526   1621.7402    703.0000     35.6452         0.0000
            2          12      0.0051      0.0579   1610.5970    703.0000     35.5171         0.0000
            2          13      0.0051      0.0632   1598.3915    703.0000     35.3767         0.0000
            2          14      0.0051      0.0684   1585.1314    703.0000     35.2242         0.0000
            2          15      0.0051      0.0737   1570.8254    703.0000     35.0597         0.0000
            2          16      0.0051      0.0789   1555.4833    703.0000     34.8833         0.0000
            2          17      0.0051      0.0842   1539.1158    703.0000     34.6950         0.0000
            2          18      0.0051      0.0895   1521.7351    703.0000     34.4952         0.0000
            2          19      0.0051      0.0947   1503.3544    703.0000     34.2838         0.0000
            2          20      0.0051      0.2000   1475.6982    703.0000     33.9657         0.0000
            3           1      0.0101      0.0000   1673.6462    703.0000     36.2421         0.0000
            3           2      0.0101      0.0053   1673.3720    703.0000     36.2390         0.0000
            3           3      0.0101      0.0105   1672.0008    703.0000     36.2232         0.0000
            3           4      0.0101      0.0158   1669.5332    703.0000     36.1948         0.0000
            3           5      0.0101      0.0211   1665.9706    703.0000     36.1539         0.0000
            3           6      0.0101      0.0263   1661.3147    703.0000     36.1003         0.0000
            3           7      0.0101      0.0316   1655.5678    703.0000     36.0342         0.0000
            3           8      0.0101      0.0368   1648.7329    703.0000     35.9556         0.0000
